row ID,x,y,z,radius,Tryptophan,Hexadecenoic acid,Triethyl citrate,Octadecenoic acid,Piperine,Sphingosine (d17:1),Epicatechin,Aspartame,4-Sphingenine,Fluconazole,Avobenzone,Phytosphingosine,Monoethanolamine oleic acid amide,Erucamide,Cocamidopropyl betaine,Sodium Laureth Sulfate,Octocrylene,Tangeretin,Sodium laureth sulfate + Na,7-Ketocholesterol,Nobiletin,Azoxystrobin,Amlodipine,Taurocholate,Oleoyl lysolecithin,Sphingomyelin,Lactosylceramide
P3_Vol4_Table_RD3_01_5908,1.959124,0.857198,0.293188,0.05,0,184598,0,217750,0,0,15475.5,0,259428,1108820,205487,0,0,1076450,3464790,199294,128673,9241.599609,76262.39844,492453,37374.60156,0,0,0,0,0,0
P3_Vol4_Table_RD4_01_5909,1.513564,0.847342,0.238256,0.05,0,182525,0,199110,0,0,0,0,148635,1259280,688384,0,0,733400,5010570,384606,256383,0,142731,362108,14057.59961,0,0,0,0,0,0
P3_Vol4_Table_RD5_01_5910,1.241512,0.834399,0.66296,0.05,0,33889.30078,0,26693.5,0,0,24305.09961,0,98878.10156,1197820,21112.80078,0,0,193468,2346270,87341.60156,32073.19922,13103.2002,46788.89844,142044,10060.40039,0,0,0,0,0,0
P3_Vol4_Table_RD6_01_5911,1.699911,0.988917,0.617461,0.05,0,9601.200195,0,63057.89844,0,11188.09961,16988.5,0,0,991174,0,0,0,277390,158846,27441.09961,6334.899902,0,0,6807.759766,0,0,0,0,0,0,0
P3_Vol4_Table_RD7_01_5912,1.706616,1.380211,0.691788,0.05,0,10854.2998,0,54153.5,0,0,19916.5,0,13891.40039,927455,0,0,0,204267,204609,5836.669922,8698.980469,0,0,16303.40039,0,0,0,0,0,0,0
P4_Book_Shelf_RA10_01_5952,2.416809,0.343494,1.641587,0.08,0,17427,0,29027.59961,0,17273.90039,22218.90039,0,0,1140530,0,0,0,261456,311831,19273.59961,0,0,11701.7998,65987.10156,0,0,0,0,0,0,0
P4_Book_Shelf_RA11_01_5953,2.495349,0.249636,1.66895,0.08,0,14010.2998,0,82429.60156,0,7061.600098,15638,0,35595.89844,1473100,0,0,0,264510,414087,24337.59961,9707.360352,0,15092,86688.39844,0,0,0,0,0,0,0
P4_Book_Shelf_RA12_01_5954,2.431709,0.833902,1.654492,0.08,11809.59961,28226.59961,0,254495,0,16426.69922,0,0,2282530,936621,0,0,0,192866,2419000,60865.89844,243491,14701.5,29668.30078,1036720,35538.80078,0,0,0,0,0,0
P4_Book_Shelf_RA2_01_5944,2.504786,0.496338,1.479712,0.08,0,19475.30078,0,44721.30078,0,0,30903.09961,0,14987.90039,687209,0,0,0,250429,639991,34321.60156,0,0,0,34485.80078,0,0,0,0,0,0,0
P4_Book_Shelf_RA3_01_5945,2.321182,0.715444,1.675285,0.08,0,53137,0,78990.70313,0,0,34830.19922,0,164588,994004,14579,0,0,402756,975729,46882.80078,0,0,18928,50080.19922,0,0,0,0,0,0,0
P4_Book_Shelf_RA4_01_5946,2.317789,1.066498,1.679224,0.08,0,14699.59961,0,98442.39844,0,0,52223.69922,0,21725.09961,1228870,0,0,0,229410,461624,19046.19922,0,0,0,26103.09961,0,0,0,0,0,0,0
P4_Book_Shelf_RA5_01_5947,2.498323,0.865335,1.502051,0.08,0,20016.09961,0,21490,0,0,39513.19922,0,24610.59961,1250040,0,0,0,252262,539443,41746.69922,4532.759766,0,10281.09961,39017.80078,0,0,0,0,0,0,0
P4_Book_Shelf_RA7_01_5949,2.3144,1.44937,1.678375,0.08,0,14172.90039,0,57575.10156,0,6447.319824,35710.89844,0,17871.19922,1062590,0,0,0,369366,197673,25319.80078,0,0,0,33628.39844,0,0,0,0,0,0,0
P4_Book_Shelf_RA8_01_5950,2.450409,1.225505,1.544955,0.08,0,69856.10156,0,30080,0,0,58880.30078,0,47046.30078,1124030,11424.90039,0,0,450854,1620840,68005.70313,11144,0,38715.5,107926,0,0,0,0,0,0,0
P4_Book_Shelf_RB2_01_5956,2.453039,0.677763,1.67273,0.08,0,25949.90039,0,71877.70313,0,4475.990234,24874.19922,0,0,1057160,0,0,0,321093,288224,0,0,0,0,72771.70313,0,0,0,0,0,0,0
P4_Book_Shelf_RB3_01_5957,2.48911,1.093401,1.633523,0.08,0,11699.5,0,70697.5,0,0,19469,0,10327.2002,1459050,0,0,0,190538,234945,0,20888.09961,0,0,45767.80078,0,0,0,0,0,0,0
P4_Book_Shelf_RB4_01_5958,2.510073,0.645858,1.597888,0.08,0,14381,0,97122.5,0,11709.59961,31211.40039,0,25035.30078,1145210,0,0,0,241571,421215,52171.5,10515.40039,0,20702.80078,90948.29688,0,0,0,0,0,0,0
P4_Book_Shelf_RB5_01_5959,2.347632,1.442521,1.589696,0.08,0,0,0,64300.30078,0,23909.30078,26815.40039,0,86418.70313,1418400,0,0,40801.19922,518211,2006200,108057,0,0,56368.60156,185183,0,0,0,0,0,0,0
P4_Book_Shelf_rerun_RA1_01_5983,2.321261,0.312765,1.675803,0.08,0,0,0,79397.79688,0,0,0,0,0,0,0,0,0,151351,0,0,0,0,0,0,0,0,0,0,0,0,0
P4_Floor_RB10_01_5966,2.267509,1.579332,1.565066,0.12,0,5426.399902,0,19793,0,23281.30078,0,0,9969.69043,1125460,0,0,0,215290,167621,9229.769531,0,0,0,17068.69922,0,0,0,0,0,0,0
