row ID,x,y,z,r,Phenylalanine,Isopentenyl pyrophosphate,Diethyltoluamide,Dimethyl phthalate,Caffeine,delta-Dodecalactone,L-Tryptophan,N-Tetradecanoyl-L-homoserine Lactone,Glycyl-L-phenylalanine,Oxybenzone,Diethyl azelate,Myristic acid ethyl ester,"cis-9,10-methylene-hexadecanoic acid",Doxylamine,Dextromethorphan,4-Acetylpiperidinium Chloride,Diisobutyl phthalate,"Conjugated linoleic Acid (10E,12Z)",Oleic acid,(-)-Epicatechin,Avobenzone,Dihydrosphingosine (19:0),Phytosphingosine,Sodium Laureth Sulfate,Monoelaidin,Hexapropylene glycol,Sodium Laureth Sulfate + Na,Dioctyl phthalate,Tributoxyethyl phosphate,Glycodeoxycholic acid,Glycocholic acid
Plate4_V3_GC12_01_11960,-0.7768,-2.1495,39.2378,0.6,0,0,15222.5,0,0,0,799811,0,0,0,0,0,0,0,73554.60156,0,0,6400.319824,35883.60156,0,0,0,271286,30754.59961,0,0,29696.90039,0,18933.5,0,0
Plate4_V3_GC1_01_11951,-0.8152,-2.7255,32.3773,0.6,0,0,39738.10156,0,0,0,696806,0,0,10880.40039,0,0,0,0,259229,0,31965.5,0,8535.280273,0,0,0,17801.40039,62118.39844,0,0,17882,0,25068.09961,0,0
Plate4_V3_GC2_01_11948,-0.1778,-0.6185,33.8467,0.6,914176,0,19920.09961,0,0,0,576684,5740.459961,0,13258.7002,0,0,0,0,157979,0,26152.30078,7116.819824,62704.60156,0,0,0,97723.39844,41950.69922,0,0,23972.09961,22777.19922,8842.650391,0,0
Plate4_V3_GC3_01_11949,-0.0529,-0.4564,36.595,0.6,0,0,32011.80078,0,0,0,548984,5955.700195,0,0,0,0,0,0,121545,0,20838.19922,25163.40039,50965.89844,0,0,0,116374,41692.10156,0,0,23219,21375,15657.7998,0,0
Plate4_V3_GC4_01_11952,-0.5313,-2.2851,35.8885,0.6,0,0,33530.19922,0,0,0,541814,0,0,0,0,0,0,0,71984.89844,0,0,0,21503.80078,0,0,0,61223,33680.39844,0,0,15097.40039,6571.410156,14000,0,0
Plate4_V3_GC5_01_11953,-0.4164,-2.1227,34.5043,0.6,0,0,26606.59961,0,0,0,631828,0,0,0,0,0,0,0,32031,0,15973.90039,0,22637.59961,0,0,63776.80078,83575.79688,32238.30078,0,0,16810.19922,13951.7998,14875.7002,0,0
Plate4_V3_GC6_01_11954,-1.3753,-3.3027,37.2892,0.6,0,0,32435.69922,0,0,0,547971,0,0,0,0,0,0,0,47225.39844,0,15948.5,0,37667.19922,0,0,88033.10156,89510,25783.80078,0,0,24487.5,15599.40039,12755.5,0,0
Plate4_V3_GC7_01_11955,-0.4968,-1.97,37.4619,0.6,0,0,13894.7002,0,0,0,375416,0,0,0,0,0,0,0,21665.59961,0,0,0,31302.59961,0,0,0,90017.20313,23024.19922,0,0,21184.80078,9821.549805,12346,0,0
Plate4_V3_GC8_01_11959,-1.239,-3.239,36.1166,0.6,0,0,7072.97998,0,0,0,333999,0,0,0,0,0,0,0,20529.19922,0,0,0,16543,0,0,0,85613.5,15828.7002,0,0,11237.40039,12485.2998,0,0,0
Plate4_V3_GC9_01_11858,-2.2961,-3.7803,39.5943,0.6,0,0,30448.69922,0,0,0,1080250,16447.30078,0,0,0,0,0,0,36974.5,0,30331.59961,7655.399902,116694,0,0,0,204925,36028.69922,17607,0,37849.30078,43329.80078,17257.40039,0,0
Plate4_V3_GD10_01_11876,-2.68,4.2027,45.6077,0.6,0,0,112381,0,0,0,1008600,48838.5,0,18608,44763.30078,14287,73479.39844,0,242612,0,53130.19922,69019.20313,115320,28016.40039,0,0,306083,53301,5514.22998,0,47366.30078,26571.40039,26000.40039,0,0
Plate4_V3_GD11_01_11877,-1.2474,4.4129,44.535,0.6,0,0,293144,0,0,0,871700,152309,0,7268.669922,76158,46716.89844,13957.90039,0,197703,16106.59961,61718.19922,117283,242386,0,0,19608.09961,784240,51995.5,27257.40039,0,53193.69922,27031.69922,42111.30078,0,0
